microns,Back,Si,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Se,Br,Kr,Rb,Sr,HgL,,Compton,elastic,sum,Flux0,Flux1
        290.0000000000000,6376.03,-51851.71,-2911.146,-2356.697,1790.163,-566.3038,478.5652,-61.10248,1.450841,-4.570283,12.28732,345.2718,-7.047573,20.74623,369.1258,-0.02272229,13.11329,-2.657356,-2.118344,9.645182,5.74742,,2518342,545978.4,-1223.753,   3.456648E+08,   2.139783E+08
        300.0000000000000,6133.165,-48382.66,-3398.441,-2640.494,1523.86,-270.8685,106.2849,-11.72896,-10.17063,1.300767,1.330016,364.3608,-1.232281,9.246739,377.3288,-2.147184,9.059137,-2.307549,-2.276968,10.63395,15.53594,,2566849,537873.9,-704.2502,   3.456648E+08,   2.133121E+08
        310.0000000000000,6057.48,11792.36,-2540.238,-1989.369,2302.75,-472.9905,380.1999,-42.26853,6.272187,-0.1387995,3.132549,376.727,1.53463,14.20752,370.3114,0.3989016,12.55785,-2.36334,-1.088584,7.564525,16.40456,,2614683,575578.8,-932.2834,   3.456648E+08,   2.133227E+08
        320.0000000000000,5982.72,-8257.367,-3603.58,-595.6323,1716.985,-133.1905,255.8907,-50.03498,13.29458,17.41036,-23.70981,359.8214,-0.3035117,12.79232,350.1509,-0.2375601,18.822,-3.662585,-1.368093,7.788091,14.14444,,2599945,538382.4,-808.6899,   3.456648E+08,   2.134631E+08
        330.0000000000000,6674.077,-7602.864,-5051.769,-3048.147,2225.198,-274.3767,193.8605,-38.24866,-10.37656,1.023599,-11.46789,345.9437,0.2257431,5.297125,359.1417,-0.3372331,16.71431,-4.569016,-1.860146,10.20456,13.5116,,2639894,546857.8,-829.4382,   3.456648E+08,   2.133724E+08
        340.0000000000000,7277.849,-34493.5,-7296.397,-1453.745,586.0755,-232.049,106.5079,-67.79845,-8.331308,-11.49368,-11.33782,355.7049,-7.603454,6.545818,366.3542,-2.263853,14.31166,-3.288109,-2.356167,3.574969,9.820093,,2634298,609354.6,-1165.407,   3.456648E+08,   2.132437E+08
        350.0000000000000,5584.243,-4284.863,-2523.457,-3170.883,3181.364,-46.76472,215.4015,25.6545,2.394558,16.90787,-3.129778,356.2317,-3.017892,15.09665,369.0969,-2.54635,19.65409,-0.9368118,-2.240447,11.67149,12.6513,,2628140,577194.1,-763.7672,   3.456648E+08,   2.137442E+08
        360.0000000000000,7352.123,-65119.88,-3515.841,-4687.554,879.3981,-244.218,-58.01176,-47.17756,-21.66182,8.741642,0.8238835,289.8913,1.166699,11.19814,355.7244,0.7803681,11.92823,-4.147847,1.0958,4.693202,16.02735,,2695257,543202.8,-1356.058,   3.456648E+08,   2.135897E+08
        370.0000000000000,6342.042,-40151.31,-3688.653,-4333.934,2175.504,-344.8576,155.4319,-55.85995,24.1743,-6.296782,-5.285052,324.9756,0.03773243,11.824,369.7099,-1.035632,20.03594,-2.084233,-1.304208,4.790725,13.48284,,2654310,571435.9,-991.0059,   3.456648E+08,   2.133200E+08
        380.0000000000000,7122.498,-43359.33,-5806.175,-5277.919,1703.211,-515.8791,279.3984,-79.79963,-15.14225,25.86991,-4.978508,291.7286,1.399043,12.12908,353.4297,-1.630331,14.50282,-3.530894,-1.564553,6.412024,21.17544,,2665146,600012.1,-916.6628,   3.456648E+08,   2.137885E+08
